product,review,star,gender,age
ヒートテックタートルネックT（9分袖）,"今年はレディースでこの薄さのヒートテックタートルが探しても見当たらず、極薄の物しか販売が無いと店員さんに言われたので、メンズのこちらを購入しました。
ちなみにレディースのヒートテックはXLを着ています。
おすすめはMだったので Mサイズを購入。
少し大きかったのでSサイズが欲しかったけど在庫切れで残念。
でもお尻が隠れる丈で暖かいので満足です。
極暖や超極暖だと暖房の効いた室内に入ると汗をかいてしまうので、やはりこのくらいの薄さのヒートテックが丁度いいです。
今年販売している薄い生地のヒートテックは一枚では着られません（色によっては下着が透けます）
この生地と同じ薄さで無地、ヒートテックタートルを再販してください。お願いします。
",5,女性,回答しない
ヒートテックタートルネックT（9分袖）,"タートルネックまで9分袖にする必要は無い。
当初ビジネマンのシャツからはみ出ない配慮で分袖が登場したと記憶していますが、それ以外のトップスの下に着るには普通にフルレングスが良い。
通常丈と9分袖を併売しているなら納得するが、全種類9分袖っていうのが腹立たしい。",1,男性,回答しない
ヒートテックタートルネックT（9分袖）,普段着とゴルフウェアインナーとして使えるかなと思って購入。年も年なので落ち着いた感じで良いと思います。,5,男性,50代
ヒートテックタートルネックT（9分袖）,"仕事、釣りに欠かせないアイテム真冬の海でも暖かく釣りに欠かせないです
",5,男性,回答しない
ヒートテックタートルネックT（9分袖）,インナー用に買いましたが、インナー以下にも使え重宝しています。,4,男性,60代以上
ヒートテックタートルネックT（9分袖）,"タートルでないと冬は寒いので毎日これを着ている。
色々なメーカーの発熱素材インナーを試したけれども、結局はユニクロのヒートテックに戻ってしまう。品質は試したどのメーカーよりもいいと思う。経年によるフィット感の減衰が少ない。他社のものはすぐにデロデロになる印象。
ユニクロヒートテックは、2シーズンまで快適に着れる。3シーズン以降は2着を毎日着まわしているとだんだんとデロデロとフィット感が足りなくなってきて寒い。
他社製品はもっと早くダレるので、やはり冬はこれしかない。",5,男性,50代
ヒートテックタートルネックT（9分袖）,"下着のカテゴリーだけど下着感無くて良い
ただ首が伸びやすくて早く着られなくなるのは改善して欲しい
極暖よりはましだけど",4,男性,50代
ヒートテックタートルネックT（9分袖）,"私の体格は細めだけど、レディースよりメンズの方が袖丈が長いと思って購入したが、思ってよりも短かった。
でも、首のあたりは満足。
サラッと着られてインナーに活躍してます。
もう少し袖を長くできないのかな？
",4,女性,50代
ヒートテックタートルネックT（9分袖）,"ゴルフに使用しましたが、冷えた朝一スタートでも寒さを感じませんでした。
シンプルな見た目で肌ざわりもいい感じでした。",5,男性,50代
ヒートテックタートルネックT（9分袖）,"薄手で細身なので、フィット感が良いです。
極暖等に比べると保温性こそ劣りますが、
室内でも暑くならないので、使い勝手が良いです。

ジャストめのシャツ、スウェット、ニット等のインナーに最適です。",5,男性,20代
ヒートテックタートルネックT（9分袖）,"購入カラーは、ブラックです。
サイズ感は、ピッタリとした感じですが、首周りがきつかったです。
ただ、保温性というめんでは、肌に吸い付くような感触で、暖かさが外に逃げにくい感覚です！！
次回は、ワンサイズ大きめを購入しようと思います。",5,男性,40代
ヒートテックタートルネックT（9分袖）,"店舗での販売が無かったため、こちらで購入しました。薄くて暖かさもあり、中着にちょうどよく毎日着ています。
",4,男性,40代
ヒートテックタートルネックT（9分袖）,"黒で、とても暖かく、身体にフィットした。
3着買ってしまいました。",4,男性,60代以上
ヒートテックタートルネックT（9分袖）,冬場にこれがあればシャツやパーカーなんかて合わせる事で色々なパターンとして使えるし、ヒートテックで暖かいです。,5,男性,50代
ヒートテックタートルネックT（9分袖）,タートルネックはこの寒い季節中高年層には助かります!,5,男性,60代以上
